Date,Open,High,Low,Close,Adj Close,Volume
2023-02-07,20.526882,21.496054,20.512115,21.476181,21.476181,321849801
2023-02-08,21.473413,22.052120,21.117411,21.860701,21.860701,381724699
2023-02-09,21.864452,22.022749,19.276884,19.459312,19.459312,446562559
2023-02-10,19.459084,20.167658,19.395443,19.845343,19.845343,301322494
2023-02-11,19.848217,19.919563,19.444012,19.902527,19.902527,172866051
2023-02-12,19.902042,20.163406,19.423792,19.582041,19.582041,181082054
2023-02-13,19.580809,19.586029,18.260313,18.857122,18.857122,271320574
2023-02-14,18.853657,19.399279,18.737194,19.193146,19.193146,275693025
2023-02-15,19.192730,20.665260,19.078377,20.665260,20.665260,278337869
2023-02-16,20.665787,20.808737,19.539938,19.558350,19.558350,370768561
2023-02-17,19.560070,20.789135,19.488392,20.635633,20.635633,277618626
2023-02-18,20.632305,21.001808,20.275084,20.790119,20.790119,233794884
2023-02-19,20.788481,21.454458,20.447178,20.577457,20.577457,337977207
2023-02-20,20.587425,21.075386,20.206232,20.859858,20.859858,268539901
2023-02-21,20.861078,21.134691,19.941525,20.203308,20.203308,265228907
2023-02-22,20.203022,20.402651,19.432560,19.949818,19.949818,233846777
2023-02-23,19.950388,20.371574,19.762863,20.166264,20.166264,184019847
2023-02-24,20.165106,20.291531,19.219124,19.450668,19.450668,222791838
2023-02-25,19.451151,19.598787,18.610716,19.085505,19.085505,197199609
2023-02-26,19.083958,19.443102,19.002199,19.264046,19.264046,145391008
2023-02-27,19.263344,19.412273,18.735258,18.967499,18.967499,161092375
2023-02-28,18.968578,18.984640,18.074190,18.222368,18.222368,166398577
2023-03-01,18.223370,19.114925,18.281834,18.892633,18.892633,182024418
2023-03-02,18.892799,18.993786,18.132570,18.496300,18.496300,155178413
2023-03-03,18.498224,18.520954,17.239803,17.728100,17.728100,186753521
2023-03-04,17.730394,17.831814,17.215008,17.482103,17.482103,103924007
2023-03-05,17.482309,18.092405,17.482309,17.804722,17.804722,143010603
2023-03-06,17.805651,18.114944,17.581448,17.806072,17.806072,122274084
2023-03-07,17.805973,17.901537,17.404964,17.830387,17.830387,155110815
2023-03-08,17.829775,17.904057,16.552719,16.629747,16.629747,178454819
2023-03-09,16.629770,16.713594,16.020618,16.706608,16.706608,355079156
2023-03-10,16.629770,16.712791,16.020618,16.706608,16.706608,355079156
2023-03-11,16.710026,17.089666,15.713064,16.953423,16.953423,420041073
2023-03-12,16.954189,17.320190,16.255648,16.888533,16.888533,319494511
2023-03-13,16.886635,17.753326,16.727209,17.751934,17.751934,240434099
2023-03-14,17.753012,18.248135,17.126495,18.047709,18.047709,305227225
2023-03-15,18.046391,20.156797,18.004284,19.546896,19.546896,525079120
2023-03-16,19.554514,19.986544,17.720297,18.806292,18.806292,470667914
2023-03-17,18.809626,19.494638,18.611382,19.287378,19.287378,288470076
2023-03-18,19.285786,19.832703,18.882210,19.505392,19.505392,274558305
2023-03-19,19.507811,19.870903,18.089111,18.102283,18.102283,397785116
2023-03-20,18.101255,19.339697,17.929146,18.390835,18.390835,288511486
2023-03-21,18.388628,18.576633,17.182167,17.204660,17.204660,270040899
2023-03-22,17.209139,18.279016,16.989311,17.884251,17.884251,249076271
2023-03-23,17.882822,17.949549,16.420824,16.932541,16.932541,284887341
2023-03-24,16.931442,17.789326,16.792702,17.510363,17.510363,204918658
2023-03-25,17.510319,17.547709,16.573500,16.838444,16.838444,191758961
2023-03-26,16.839573,17.033539,16.456329,16.697273,16.697273,139535929
2023-03-27,16.697979,17.217890,16.624889,17.021570,17.021570,111186865
2023-03-28,17.022112,17.064646,16.019613,16.283867,16.283867,157484859
2023-03-29,16.283567,17.041183,15.994159,16.744677,16.744677,194765792
2023-03-30,16.741146,17.256044,16.672098,17.105665,17.105665,385144398
2023-03-31,17.108301,17.307175,16.351175,16.598892,16.598892,258026997
2023-04-01,16.599207,16.988781,16.521896,16.727642,16.727642,210211516
2023-04-02,16.728151,17.172024,16.539284,17.046276,17.046276,195209256
2023-04-03,17.043219,17.297173,16.495861,16.708500,16.708500,188300925
2023-04-04,16.707794,16.769701,15.875093,16.452654,16.452654,221313041
2023-04-05,16.449242,16.799025,16.342163,16.683926,16.683926,212245568
2023-04-06,16.685406,17.290356,16.636267,17.166279,17.166279,224056018
2023-04-07,17.165995,17.256744,16.800331,16.975246,16.975246,209387393
2023-04-08,16.973919,17.009743,16.376757,16.574837,16.574837,211435763
2023-04-09,16.573448,16.774593,16.352888,16.422209,16.422209,139814239
2023-04-10,16.423113,16.627153,16.311771,16.545017,16.545017,128645522
2023-04-11,16.544598,16.896904,16.411600,16.827072,16.827072,170238110
2023-04-12,16.828159,17.132668,16.740679,16.952522,16.952522,193486710
2023-04-13,16.952539,16.947800,16.488316,16.957958,16.957958,163359037
2023-04-14,16.907804,17.654282,16.828983,17.422884,17.422884,232816651
2023-04-15,17.424110,18.362499,17.401928,18.285580,18.285580,372654191
2023-04-16,18.285275,18.598679,18.017796,18.480082,18.480082,198293988
2023-04-17,18.476416,19.222649,18.462467,18.936592,18.936592,286143336
2023-04-18,18.931015,19.276411,18.408842,18.423384,18.423384,246370042
2023-04-19,18.427778,19.049210,18.188131,18.639517,18.639517,211888844
2023-04-20,18.637991,18.671818,17.315784,17.462631,17.462631,324639576
2023-04-21,17.458139,18.030035,16.810194,16.895550,16.895550,260390597
2023-04-22,16.892738,17.028034,15.949818,16.144243,16.144243,240668026
2023-04-23,16.143803,16.514599,16.011648,16.500080,16.500080,155456023
2023-04-24,16.500443,16.502714,15.871030,16.181780,16.181780,135176014
2023-04-25,16.181017,16.389837,15.955232,16.239067,16.239067,154919197
2023-04-26,16.237841,16.721664,16.033409,16.658329,16.658329,152380402
2023-04-27,16.657425,17.229795,15.644504,16.532072,16.532072,250425950
2023-04-28,16.536245,17.754257,16.524511,17.386656,17.386656,270731981
2023-04-29,17.387169,17.780464,17.221943,17.716450,17.716450,164021477
